No,ID LOGGER,LOKASI,IP ADDRESS,MAC ADDRESS (HEX ARRAY),MAC ADDRESS
1,2D3032,F2,10.6.0.2,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x32",DE:AD:BE:EF:FE:32
2,2D303B,F3,10.6.0.3,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x33",DE:AD:BE:EF:FE:33
3,2D3031,F4,10.6.0.4,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x34",DE:AD:BE:EF:FE:34
4,2D3036,F5,10.6.0.5,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x35",DE:AD:BE:EF:FE:35
5,2D303A,F6,10.6.0.6,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x36",DE:AD:BE:EF:FE:36
6,2D3038,G2,10.6.0.7,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x37",DE:AD:BE:EF:FE:37
7,2D3039,G3,10.6.0.8,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x38",DE:AD:BE:EF:FE:38
8,2D303F,G4,10.6.0.9,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x39",DE:AD:BE:EF:FE:39
9,2D3033,G5,10.6.0.10,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x3A",DE:AD:BE:EF:FE:3A
10,2D3034,G6,10.6.0.11,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x3B",DE:AD:BE:EF:FE:3B
11,2D3035,G7,10.6.0.12,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x3C",DE:AD:BE:EF:FE:3C
12,2D303D,G8,10.6.0.13,"0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0x3D",DE:AD:BE:EF:FE:3D